cnpj;optante_simples;optante_simei
33592510000154;NÃO;NÃO
33592770000120;SIM;SIM
33649878000101;SIM;NÃO
33679182000128;SIM;SIM
33698290000148;NÃO;NÃO
33720484000100;SIM;SIM
33722001000107;SIM;NÃO
33725169000168;SIM;NÃO
33736092000121;SIM;NÃO
33744722000100;SIM;NÃO
33801486000116;SIM;SIM
33818514000108;NÃO;NÃO
33839910000111;NÃO;NÃO
33851161000148;SIM;SIM
33875234000131;SIM;NÃO
33876229000143;SIM;SIM
33911667000103;SIM;SIM
33914833000117;SIM;NÃO
33948964000115;SIM;SIM
33966230000169;SIM;NÃO
33966327000171;SIM;SIM
33978172000355;NÃO;NÃO
34017833000187;SIM;SIM
34055658000112;SIM;SIM
34114508000132;SIM;SIM
34140132000130;SIM;SIM
34147402000135;SIM;SIM
34234562000111;SIM;SIM
34419728000174;SIM;SIM
34509375000101;SIM;NÃO
34514036000105;SIM;SIM
34526084000113;NÃO;NÃO
34555370000107;SIM;NÃO
34598776000177;SIM;SIM
34651734000152;SIM;SIM
34658709000109;SIM;SIM
34669017000158;SIM;SIM
34670717000162;NÃO;NÃO
34671367000159;SIM;SIM
34675104000118;SIM;SIM
34675972000106;SIM;SIM
34691259000148;SIM;SIM
34740824000110;SIM;SIM
34822787000199;SIM;NÃO
34844672000103;SIM;SIM
34897728000180;NÃO;NÃO
34904272000138;SIM;NÃO
34909266000173;SIM;SIM
34927093000116;SIM;SIM
34933310000180;SIM;SIM
34938540000132;SIM;SIM
34968928000186;SIM;NÃO
34973877000180;SIM;SIM
34975279000140;SIM;SIM
34988227000109;SIM;SIM
35005208000188;SIM;SIM
35038400000170;SIM;NÃO
35124696000142;SIM;SIM
35154003000164;SIM;SIM
35162229000107;SIM;SIM
35268155000198;SIM;SIM
35313169000186;SIM;SIM
35326723000160;SIM;SIM
35364910000138;SIM;NÃO
35369673000106;SIM;NÃO
35381514000119;SIM;SIM
35399235000182;SIM;SIM
35402400000108;SIM;SIM
35441461000184;SIM;SIM
35478626000192;SIM;SIM
35479858000165;SIM;SIM
35503396000174;SIM;SIM
35586384000150;SIM;SIM
35614719000105;NÃO;NÃO
35632867000144;SIM;SIM
35729273000156;SIM;NÃO
35741295000131;SIM;SIM
35797136000159;SIM;SIM
35824684000120;SIM;NÃO
35843569000101;SIM;SIM
35865316000120;SIM;NÃO
35917664000102;SIM;SIM
35935974000141;SIM;SIM
35936365000107;NÃO;NÃO
35980428000122;SIM;SIM
35981313000152;SIM;SIM
36050141000166;SIM;SIM
36074476000114;SIM;SIM
36097493000177;SIM;SIM
36118413000112;SIM;SIM
36125132000197;SIM;SIM
36127144000150;SIM;SIM
36157096000143;SIM;SIM
36158852000159;SIM;SIM
36163853000191;SIM;NÃO
36175421000109;SIM;SIM
36191569000129;SIM;NÃO
36197533000152;SIM;SIM
36206366000169;SIM;SIM
36232561000163;SIM;SIM
36242123000186;SIM;SIM
36287971000101;SIM;SIM
36305421000178;SIM;SIM
36314032000109;SIM;SIM
36318105000130;SIM;SIM
36324781000117;SIM;SIM
36330400000102;SIM;SIM
36365067000177;SIM;SIM
36383860000107;SIM;SIM
36452374000195;SIM;SIM
36464511000101;SIM;SIM
36468781000190;SIM;SIM
36473923000108;NÃO INFORMADO;NÃO INFORMADO
36512700000102;SIM;SIM
36528397000136;SIM;SIM
36529590000191;SIM;SIM
36537805000116;NÃO;NÃO
36540386000171;NÃO INFORMADO;NÃO INFORMADO
36551469000166;SIM;SIM
36587112000138;SIM;SIM
36589710000146;SIM;SIM
36607479000176;SIM;SIM
36612368000158;SIM;SIM
36623843000191;SIM;SIM
36658601000133;SIM;NÃO
36660984000184;SIM;SIM
36666353000172;SIM;NÃO
36695645000133;SIM;SIM
36706385000154;SIM;SIM
36743346000127;SIM;SIM
36761122000148;SIM;SIM
36763868000190;SIM;NÃO
36774442000132;NÃO;NÃO
36793682000184;SIM;SIM
36839235000119;SIM;SIM
36870142000157;SIM;SIM
36882202000151;SIM;SIM
36889925000182;SIM;SIM
36906290000184;NÃO;NÃO
36909733000190;SIM;SIM
36947201000148;SIM;SIM
36950726000132;NÃO;NÃO
36983547000100;SIM;SIM
37092245000104;SIM;SIM
37118515000109;SIM;SIM
37134636000136;SIM;SIM
37138297000166;SIM;SIM
37138785000173;SIM;SIM
37144734000154;SIM;SIM
37153024000190;SIM;SIM
37167672000104;SIM;NÃO
37168484000192;SIM;NÃO
37189889000450;NÃO INFORMADO;NÃO INFORMADO
37191288000139;SIM;NÃO
37227502000160;SIM;SIM
37248186000102;SIM;SIM
37265981000109;SIM;SIM
37294858000116;SIM;NÃO
37311108000105;NÃO;NÃO
37319697000178;SIM;SIM
37354368000168;SIM;SIM
37373389000120;SIM;SIM
37387518000130;SIM;SIM
37390365000180;SIM;SIM
37396073000154;SIM;SIM
37415161000237;NÃO INFORMADO;NÃO INFORMADO
37429760000129;SIM;SIM
37441675000186;NÃO INFORMADO;NÃO INFORMADO
37481940000150;SIM;SIM
37482672000190;SIM;SIM
37499101000169;SIM;SIM
37501090000104;SIM;NÃO
37554918000192;SIM;NÃO
37599302000138;SIM;SIM
37658378000197;SIM;NÃO
